"Mark","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"BMW","BMW 5 Series 2003-2012 GT 530d LE","Coimbatore",2011,57832,"Diesel","Automatic","First",16.2,2993,258,5,25.82
"Volvo","Volvo V40 D3","Bangalore",2015,33000,"Diesel","Automatic","Second",16.8,1984,150,5,22
"Audi","Audi Q5 30 TDI quattro Premium Plus","Bangalore",2014,38000,"Diesel","Automatic","Second",14.16,1968,174.3,5,39
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Coimbatore",2016,86642,"Diesel","Automatic","First",15.17,1968,181,5,20.37
"BMW","BMW 3 Series Luxury Line","Bangalore",2016,19235,"Diesel","Automatic","First",21.76,1995,190,5,36.5
"Audi","Audi Q7 4.2 TDI Quattro Technology","Coimbatore",2016,51002,"Diesel","Automatic","First",11.33,4134,335.2,7,48.91
"Mercedes-Benz","Mercedes-Benz E-Class E 220 d","Kochi",2018,26405,"Petrol","Automatic","First",12.6,1950,191.34,5,51.43
"Mercedes-Benz","Mercedes-Benz New C-Class 220 CDI MT","Chennai",2014,45000,"Diesel","Manual","First",15.8,2148,170,5,23
"Land","Land Rover Range Rover Evoque 2.0 TD4 Pure","Delhi",2015,24000,"Diesel","Automatic","Second",15.68,1999,177,5,33.5
"Toyota","Toyota Fortuner 4x4 MT","Coimbatore",2017,47198,"Diesel","Manual","First",12.55,2982,168.5,7,28.42
"Mercedes-Benz","Mercedes-Benz GLS 350d 4MATIC","Pune",2017,129000,"Diesel","Automatic","First",11,2987,258,7,56
"Toyota","Toyota Fortuner 4x4 AT","Delhi",2017,25000,"Diesel","Automatic","First",12.55,2982,168.5,7,32
"BMW","BMW X5 xDrive 30d","Hyderabad",2011,75000,"Diesel","Automatic","First",11.7,2993,245,5,27.5
"Land","Land Rover Range Rover HSE Dynamic","Coimbatore",2017,49275,"Diesel","Automatic","First",12.7,2179,187.7,5,45.64
"Audi","Audi A6 2011-2015 35 TDI Technology","Coimbatore",2017,41041,"Diesel","Automatic","First",17.68,1968,174.33,5,37.56
"Mercedes-Benz","Mercedes-Benz New C-Class Progressive C 200","Kochi",2019,13190,"Petrol","Automatic","First",11.9,1950,181.43,5,38.99
"BMW","BMW X1 sDrive 20d xLine","Coimbatore",2017,31645,"Diesel","Automatic","First",20.68,1995,190,5,29.4
"Audi","Audi TT 2.0 TFSI","Delhi",2013,12100,"Petrol","Automatic","First",9.9,1984,207.8,2,29.5
"BMW","BMW 3 Series 320d Luxury Line","Bangalore",2014,47000,"Diesel","Automatic","First",18.88,1995,184,5,25.5
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kochi",2015,37340,"Diesel","Automatic","First",16.36,2179,187.7,5,29.98
"BMW","BMW X1 sDrive 20d Sportline","Chennai",2016,21000,"Diesel","Automatic","First",17.05,1995,184,5,33
"Audi","Audi Q7 4.2 TDI Quattro Technology","Kochi",2014,79926,"Diesel","Automatic","First",11.33,4134,335.2,7,29.77
"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater","Mumbai",2014,19000,"Diesel","Automatic","First",15.97,2993,258,7,44
"Audi","Audi A6 2011-2015 35 TFSI Technology","Kochi",2016,58953,"Petrol","Automatic","First",13.53,1984,177.01,5,24.22
"Jaguar","Jaguar XF 2.2 Litre Executive","Delhi",2016,10000,"Diesel","Automatic","First",16.36,2179,187.7,5,44
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Coimbatore",2019,40674,"Diesel","Automatic","First",11.36,2755,171.5,7,24.82
"Toyota","Toyota Corolla Altis VL AT","Bangalore",2018,1331,"Petrol","Automatic","First",14.28,1798,138.03,5,20
"Mercedes-Benz","Mercedes-Benz GLC 220d 4MATIC Style","Mumbai",2018,10003,"Diesel","Automatic","First",17.9,2143,170,5,48.5
"BMW","BMW 5 Series 2013-2017 530d M Sport","Coimbatore",2016,20967,"Diesel","Automatic","First",14.69,2993,258,5,44.56
"Toyota","Toyota Fortuner 4x2 Manual","Hyderabad",2014,107825,"Diesel","Manual","First",13,2982,168.5,7,20.5
"Mini","Mini Cooper 5 DOOR D","Mumbai",2016,11000,"Diesel","Automatic","First",20.7,1496,113.98,5,29.5
"Audi","Audi Q3 35 TDI Quattro Premium","Hyderabad",2015,61000,"Diesel","Automatic","First",15.73,1968,174.33,5,25
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Coimbatore",2016,19658,"Diesel","Automatic","First",18.12,1995,190,5,35.84
"BMW","BMW 3 Series 320d Highline","Bangalore",2014,69330,"Diesel","Automatic","First",16.07,1995,181,5,23.5
"Mercedes-Benz","Mercedes-Benz New C-Class C 250 CDI Avantgarde","Coimbatore",2017,25559,"Diesel","Automatic","First",19.71,2143,201.15,5,37.93
"Toyota","Toyota Fortuner 4x2 4 Speed AT","Jaipur",2015,94000,"Diesel","Automatic","First",11.5,2982,169,7,20.5
"Jaguar","Jaguar XJ 2.0L Portfolio","Mumbai",2017,10501,"Petrol","Automatic","First",9.43,1999,237.4,5,75
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Coimbatore",2014,49964,"Diesel","Automatic","First",17.68,1968,174.33,5,23.89
"Mercedes-Benz","Mercedes-Benz SLK-Class SLK 350","Coimbatore",2016,22732,"Petrol","Automatic","First",18.1,3498,306,2,55.54
"Audi","Audi A6 2.0 TDI Design Edition","Hyderabad",2014,48000,"Diesel","Automatic","First",18.53,1968,187.74,5,29
"Ford","Ford Endeavour 3.2 Trend AT 4X4","Coimbatore",2017,50484,"Diesel","Automatic","First",10.91,3198,197.2,7,31.12
"Audi","Audi Q5 2008-2012 2.0 TDI","Kochi",2013,13452,"Diesel","Automatic","First",12.8,1968,167.6,5,25.46
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Chennai",2017,34000,"Diesel","Automatic","First",13,2143,204,5,36
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Pune",2014,120000,"Diesel","Automatic","First",13.51,2987,165,5,30
"BMW","BMW X5 xDrive 30d Design Pure Experience 5 Seater","Hyderabad",2015,69000,"Diesel","Automatic","First",15.97,2993,258,5,54
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2015,46983,"Diesel","Automatic","Second",12.07,2967,241.4,7,43.35
"BMW","BMW 3 Series 320d Luxury Plus","Ahmedabad",2015,100000,"Diesel","Automatic","First",18.88,1995,184,5,24.75
"BMW","BMW 3 Series 320d Luxury Line","Kochi",2015,58390,"Diesel","Automatic","First",18.88,1995,184,5,19.86
"Mini","Mini Cooper 5 DOOR D","Hyderabad",2014,60000,"Diesel","Automatic","Second",20.7,1496,113.98,5,23.5
"Jaguar","Jaguar XF 2.2 Litre Luxury","Coimbatore",2016,47877,"Diesel","Automatic","First",16.36,2179,187.7,5,35.68
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E","Kochi",2017,43368,"Diesel","Automatic","First",15,2143,204,5,31.94
"BMW","BMW 3 Series 320d Luxury Line","Coimbatore",2016,14351,"Diesel","Automatic","First",18.88,1995,184,5,35.55
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,36797,"Diesel","Automatic","First",19.27,2143,167.62,5,39.47
"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Bangalore",2015,76927,"Diesel","Automatic","First",15.73,1968,174.33,5,22.75
"Mercedes-Benz","Mercedes-Benz SLK-Class SLK 350","Bangalore",2015,10000,"Petrol","Automatic","First",18.1,3498,306,2,55
"Mercedes-Benz","Mercedes-Benz GLE 250d","Mumbai",2016,21000,"Diesel","Automatic","First",17.9,2143,201.15,5,56
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Coimbatore",2017,59636,"Diesel","Automatic","First",10.91,3198,197,7,29.2
"BMW","BMW 5 Series 2003-2012 530d Highline","Coimbatore",2013,108640,"Diesel","Automatic","First",11.5,2993,235,5,23.29
"BMW","BMW 3 Series 320d M Sport","Mumbai",2016,38000,"Diesel","Automatic","First",22.69,1995,190,5,23.99
"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater","Mumbai",2014,47000,"Diesel","Automatic","First",15.97,2993,258,7,41.5
"Jaguar","Jaguar XF 2.2 Litre Luxury","Coimbatore",2015,44194,"Diesel","Automatic","First",16.36,2179,187.7,5,32.8
"Mercedes-Benz","Mercedes-Benz E-Class Facelift","Coimbatore",2018,56652,"Diesel","Automatic","First",13,2987,258,5,50.29
"Toyota","Toyota Fortuner 4x2 AT","Coimbatore",2015,101337,"Diesel","Automatic","First",12.55,2982,168.5,7,21.67
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Kochi",2018,41736,"Diesel","Automatic","First",11.36,2755,171.5,7,19.92
"Audi","Audi TT 40 TFSI","Kolkata",2012,7000,"Petrol","Automatic","First",14.33,1984,226.6,4,35
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Kochi",2015,42076,"Diesel","Automatic","First",13,2143,201.1,5,21.8
"Toyota","Toyota Camry Hybrid","Pune",2018,17000,"Petrol","Automatic","First",19.16,2494,158.2,5,32
"Audi","Audi A6 2011-2015 2.0 TDI","Hyderabad",2013,70181,"Diesel","Automatic","First",17.68,1968,174.33,5,23.99
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Jaipur",2016,58205,"Diesel","Automatic","First",19.27,2143,167.62,5,27
"Audi","Audi Q5 30 TDI quattro Premium","Coimbatore",2017,40318,"Diesel","Automatic","First",14.16,1968,174.3,5,43.74
"Audi","Audi Q3 2.0 TDI","Chennai",2014,60000,"Diesel","Automatic","First",15.73,1968,174.33,5,20
"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater","Hyderabad",2016,76000,"Diesel","Automatic","First",15.97,2993,258,7,58
"Jaguar","Jaguar XF Diesel","Kolkata",2012,43510,"Diesel","Automatic","First",14.74,2993,270.9,5,20.5
"Jeep","Jeep Compass 2.0 Limited 4X4","Mumbai",2017,52000,"Diesel","Manual","First",16.3,1956,170,5,20
"Land","Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic","Kochi",2018,31427,"Diesel","Automatic","First",15.68,1999,177,5,59.72
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Pune",2015,50000,"Diesel","Automatic","First",19.27,2143,167.62,5,30
"Mercedes-Benz","Mercedes-Benz C-Class Progressive C 220d","Mumbai",2018,8682,"Diesel","Automatic","First",12.6,1950,194,5,39.5
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Coimbatore",2017,13689,"Diesel","Automatic","First",17.9,2143,136,5,28.25
"Ford","Ford Endeavour 2.2 Trend AT 4X2","Kochi",2019,11209,"Diesel","Automatic","First",12.62,2198,158,7,31.15
"Mercedes-Benz","Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Delhi",2014,85000,"Diesel","Automatic","First",11.3,2987,254.8,7,38.75
"Jaguar","Jaguar XF 2.2 Litre Luxury","Delhi",2014,48000,"Diesel","Automatic","First",16.36,2179,187.7,5,26.5
"Land","Land Rover Range Rover TDV8 (Diesel)","Bangalore",2011,55000,"Diesel","Automatic","First",10.2,4367,308,7,67
"Audi","Audi A4 35 TDI Technology","Hyderabad",2015,45000,"Diesel","Automatic","First",18.25,1968,187.74,5,25
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Bangalore",2016,108000,"Diesel","Automatic","First",11.36,2755,171.5,7,20.5
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Hyderabad",2016,68000,"Diesel","Automatic","First",10.91,3198,197,7,29.5
"Porsche","Porsche Boxster S tiptronic","Kolkata",2015,10512,"Petrol","Automatic","First",8.6,2706,265,2,64
"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury","Kolkata",2012,29000,"Diesel","Automatic","First",14.74,2993,270.9,5,20
"Audi","Audi Q7 4.2 TDI Quattro Technology","Bangalore",2014,50000,"Diesel","Automatic","First",11.33,4134,335.2,7,51
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2015,53735,"Diesel","Automatic","Second",12.07,2967,241.4,7,38.94
"BMW","BMW 5 Series 2013-2017 525d Luxury Line","Bangalore",2013,58500,"Diesel","Automatic","Second",17.09,1995,218,5,27.5
"Mercedes-Benz","Mercedes-Benz E-Class E 220 d","Kochi",2018,20446,"Petrol","Automatic","First",12.6,1950,191.34,5,51.35
"Mini","Mini Cooper 5 DOOR D","Ahmedabad",2014,34000,"Diesel","Automatic","First",20.7,1496,113.98,5,22
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde","Hyderabad",2013,34700,"Diesel","Automatic","First",10,2148,170,5,24.5
"BMW","BMW 5 Series 2013-2017 530d M Sport","Bangalore",2015,16900,"Diesel","Automatic","First",14.69,2993,258,5,44
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Hyderabad",2016,69000,"Diesel","Automatic","First",11.36,2755,171.5,7,19.75
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde","Kochi",2016,35939,"Petrol","Manual","First",12.3,1796,185,5,30.42
"Volvo","Volvo S60 D4 Momentum","Hyderabad",2015,51000,"Diesel","Automatic","First",27.03,1969,190,5,25
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade","Mumbai",2017,15000,"Diesel","Automatic","First",13,2987,265,5,69.5
"Toyota","Toyota Innova Crysta 2.4 VX MT","Hyderabad",2017,24393,"Diesel","Manual","First",13.68,2393,147.8,7,20.4
"Audi","Audi Q7 35 TDI Quattro Premium Plus","Mumbai",2015,65938,"Diesel","Automatic","Second",12.07,2967,241.4,7,38
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Ahmedabad",2014,35000,"Diesel","Automatic","Second",18.12,1995,190,5,23
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Kochi",2017,36884,"Diesel","Automatic","First",13,2143,204,5,32.25
"Audi","Audi Q3 2.0 TDI Quattro","Hyderabad",2013,60000,"Diesel","Automatic","First",17.32,1968,184,5,21
"Jaguar","Jaguar XE 2.0L Diesel Prestige","Delhi",2018,1000,"Diesel","Automatic","First",13.6,1999,177,5,40
"Toyota","Toyota Camry 2.5 Hybrid","Pune",2018,17585,"Petrol","Automatic","First",19.16,2494,157.7,5,32
"Audi","Audi Q5 3.0 TDI Quattro","Coimbatore",2018,32496,"Diesel","Automatic","First",13.22,2967,241.4,5,45.62
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Delhi",2014,40000,"Diesel","Automatic","First",13,2143,201.1,5,24
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Bangalore",2016,51944,"Diesel","Automatic","First",19.27,2143,170,5,32.5
"Audi","Audi TT 2.0 TFSI","Kochi",2014,14262,"Petrol","Automatic","First",9.9,1984,207.8,2,27.35
"Land","Land Rover Discovery 4 TDV6 SE","Delhi",2013,65000,"Diesel","Automatic","Second",11.8,2993,180,7,34
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi",2014,57456,"Diesel","Automatic","First",17.68,1968,174.33,5,21.56
"BMW","BMW 5 Series 520d Luxury Line","Coimbatore",2012,44450,"Diesel","Automatic","First",22.48,1995,190,5,24.68
"BMW","BMW X1 M Sport sDrive 20d","Mumbai",2016,31000,"Diesel","Automatic","First",17.05,1995,190,5,29.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Bangalore",2014,33000,"Diesel","Automatic","Second",13.51,2987,165,5,43
"Audi","Audi Q7 45 TDI Quattro Technology","Mumbai",2016,20002,"Diesel","Automatic","First",14.75,2967,245,7,67
"BMW","BMW 3 Series 320d Sport Line","Hyderabad",2015,10000,"Diesel","Automatic","First",18.88,1995,184,5,30
"Land","Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel","Bangalore",2012,66538,"Diesel","Automatic","First",10.2,4367,308,7,70
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E350 Edition E","Jaipur",2015,41493,"Diesel","Automatic","First",13,2987,265,5,42
"BMW","BMW 5 Series 520d Sport Line","Kochi",2019,18373,"Diesel","Automatic","First",22.48,1995,187.74,5,45.86
"BMW","BMW 3 Series 320d Luxury Line","Hyderabad",2013,30000,"Diesel","Automatic","First",18.88,1995,184,5,22
"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater","Kochi",2016,35659,"Diesel","Automatic","First",15.97,2993,258,7,43.78
"Audi","Audi A7 2011-2015 3.0 TDI Quattro","Mumbai",2011,42000,"Diesel","Automatic","First",14.4,2967,241.4,5,28.75
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Pune",2017,50000,"Diesel","Automatic","First",17.9,2143,136,5,25
"Toyota","Toyota Innova Crysta 2.4 VX MT","Kochi",2018,8899,"Diesel","Manual","First",13.68,2393,147.8,7,19.92
"Ford","Ford Endeavour 3.2 Trend AT 4X4","Kochi",2018,30552,"Diesel","Automatic","First",10.91,3198,197.2,7,32.44
"Mercedes-Benz","Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command","Hyderabad",2014,51355,"Diesel","Automatic","First",14.84,2143,170,5,27
"Audi","Audi Q3 2.0 TDI Quattro","Ahmedabad",2016,45000,"Diesel","Automatic","First",17.32,1968,184,5,27
"Audi","Audi Q5 2.0 TDI Premium Plus","Hyderabad",2016,43000,"Diesel","Automatic","First",14.16,1968,174.3,5,39.5
"Mini","Mini Cooper Countryman D","Hyderabad",2013,51000,"Diesel","Automatic","First",23.8,1998,112,5,21.94
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 320 CDI","Chennai",2009,42000,"Diesel","Automatic","Second",13,2987,210,5,22
"Jaguar","Jaguar XJ 3.0L Portfolio LWB","Kochi",2016,17652,"Diesel","Automatic","First",12.9,2993,270.88,5,58.73
"Land","Land Rover Range Rover Sport SE","Kochi",2019,26013,"Diesel","Automatic","First",12.65,2993,255,5,97.07
"BMW","BMW X3 xDrive20d","Coimbatore",2014,41089,"Diesel","Automatic","First",16.09,1995,184,5,28.79
"Land","Land Rover Range Rover 2.2L Pure","Bangalore",2014,56000,"Diesel","Automatic","First",12.7,2179,187.7,5,34.5
"Toyota","Toyota Fortuner 4x4 MT","Hyderabad",2018,39927,"Diesel","Manual","First",12.55,2982,168.5,7,32.1
"Toyota","Toyota Innova Crysta 2.4 VX MT 8S","Coimbatore",2019,11241,"Diesel","Manual","First",13.68,2393,147.8,8,22.55
